Participante,Grupo,Velocidad (palabras/minuto)
P1,Cafeína,62.83
P2,Cafeína,65.84
P3,Cafeína,67.0
P4,Cafeína,57.6
P5,Cafeína,69.54
P6,Cafeína,56.68
P7,Cafeína,63.77
P8,Cafeína,71.32
P9,Cafeína,55.19
P10,Cafeína,57.42
P11,Cafeína,60.44
P12,Cafeína,57.18
P13,Cafeína,58.83
P14,Cafeína,64.73
P15,Cafeína,56.74
P16,Cafeína,74.14
P17,Cafeína,60.12
P18,Cafeína,76.76
P19,Cafeína,76.94
P20,Cafeína,70.66
P21,Cafeína,50.13
P22,Cafeína,54.04
P23,Cafeína,62.36
P24,Cafeína,52.88
P25,Cafeína,74.6
P26,Cafeína,50.42
P27,Cafeína,67.16
P28,Cafeína,61.43
P29,Cafeína,73.91
P30,Cafeína,53.95
P31,Cafeína,73.12
P32,Cafeína,66.79
P33,Cafeína,59.84
P34,Cafeína,70.29
P35,Cafeína,75.34
P36,Cafeína,57.84
P37,Cafeína,60.45
P38,Cafeína,48.11
P39,Cafeína,58.45
P40,Cafeína,57.3
P41,Cafeína,66.0
P42,Cafeína,65.87
P43,Cafeína,61.49
P44,Cafeína,59.29
P45,Cafeína,72.47
P46,Cafeína,65.47
P47,Cafeína,77.88
P48,Cafeína,71.88
P49,Cafeína,57.12
P50,Cafeína,57.33
P51,Cafeína,68.59
P52,Cafeína,57.46
P53,Cafeína,66.27
P54,Cafeína,68.1
P55,Cafeína,68.5
P56,Cafeína,68.35
P57,Cafeína,59.14
P58,Cafeína,53.57
P59,Cafeína,48.93
P60,Cafeína,63.13
P61,Cafeína,79.43
P62,Cafeína,49.41
P63,Cafeína,75.94
P64,Cafeína,50.13
P65,Cafeína,55.13
P66,Cafeína,60.94
P67,Cafeína,76.26
P68,Cafeína,57.47
P69,Cafeína,71.99
P70,Cafeína,74.08
P71,Cafeína,74.33
P72,Cafeína,65.39
P73,Cafeína,69.09
P74,Cafeína,70.05
P75,Cafeína,72.1
P76,Cafeína,65.46
P77,Cafeína,62.36
P78,Cafeína,42.34
P79,Cafeína,55.54
P80,Cafeína,64.56
P81,Cafeína,74.99
P82,Cafeína,85.08
P83,Cafeína,63.63
P84,Cafeína,61.34
P85,Cafeína,54.29
P86,Cafeína,75.56
P87,Cafeína,53.73
P88,Cafeína,56.21
P89,Cafeína,61.11
P90,Cafeína,56.99
P91,Cafeína,79.19
P92,Cafeína,69.45
P93,Cafeína,60.61
P94,Cafeína,73.64
P95,Cafeína,58.98
P96,Cafeína,74.27
P97,Cafeína,71.01
P98,Cafeína,54.9
P99,Cafeína,58.67
P100,Cafeína,63.63
P101,SinCafeína,45.04
P102,SinCafeína,63.14
P103,SinCafeína,52.93
P104,SinCafeína,53.51
P105,SinCafeína,49.8
P106,SinCafeína,55.96
P107,SinCafeína,61.17
P108,SinCafeína,62.13
P109,SinCafeína,64.01
P110,SinCafeína,67.19
P111,SinCafeína,59.91
P112,SinCafeína,51.99
P113,SinCafeína,60.49
P114,SinCafeína,49.35
P115,SinCafeína,58.29
P116,SinCafeína,55.64
P117,SinCafeína,55.83
P118,SinCafeína,56.97
P119,SinCafeína,49.85
P120,SinCafeína,42.66
P121,SinCafeína,54.94
P122,SinCafeína,71.09
P123,SinCafeína,45.97
P124,SinCafeína,57.91
P125,SinCafeína,64.08
P126,SinCafeína,61.96
P127,SinCafeína,58.72
P128,SinCafeína,55.32
P129,SinCafeína,76.88
P130,SinCafeína,62.88
P131,SinCafeína,66.86
P132,SinCafeína,65.43
P133,SinCafeína,50.81
P134,SinCafeína,60.38
P135,SinCafeína,68.38
P136,SinCafeína,60.26
P137,SinCafeína,56.47
P138,SinCafeína,51.69
P139,SinCafeína,61.45
P140,SinCafeína,58.47
P141,SinCafeína,69.77
P142,SinCafeína,45.57
P143,SinCafeína,60.18
P144,SinCafeína,53.47
P145,SinCafeína,63.64
P146,SinCafeína,61.68
P147,SinCafeína,65.0
P148,SinCafeína,66.36
P149,SinCafeína,57.8
P150,SinCafeína,48.62
P151,SinCafeína,61.32
P152,SinCafeína,56.84
P153,SinCafeína,62.97
P154,SinCafeína,52.62
P155,SinCafeína,63.36
P156,SinCafeína,54.04
P157,SinCafeína,63.36
P158,SinCafeína,57.25
P159,SinCafeína,57.7
P160,SinCafeína,58.1
P161,SinCafeína,50.61
P162,SinCafeína,52.63
P163,SinCafeína,62.34
P164,SinCafeína,60.63
P165,SinCafeína,56.02
P166,SinCafeína,54.98
P167,SinCafeína,60.08
P168,SinCafeína,46.13
P169,SinCafeína,49.17
P170,SinCafeína,66.58
P171,SinCafeína,76.92
P172,SinCafeína,64.01
P173,SinCafeína,57.31
P174,SinCafeína,67.72
P175,SinCafeína,51.89
P176,SinCafeína,60.64
P177,SinCafeína,69.86
P178,SinCafeína,59.01
P179,SinCafeína,62.88
P180,SinCafeína,61.69
P181,SinCafeína,48.12
P182,SinCafeína,69.77
P183,SinCafeína,55.54
P184,SinCafeína,61.19
P185,SinCafeína,63.86
P186,SinCafeína,50.27
P187,SinCafeína,63.13
P188,SinCafeína,58.5
P189,SinCafeína,52.0
P190,SinCafeína,60.8
P191,SinCafeína,48.35
P192,SinCafeína,48.47
P193,SinCafeína,56.03
P194,SinCafeína,42.53
P195,SinCafeína,81.71
P196,SinCafeína,65.4
P197,SinCafeína,65.79
P198,SinCafeína,52.17
P199,SinCafeína,60.38
P200,SinCafeína,62.42
