Empleado,Condición,PuntajeMemoria (0-100)
P1,Ejercicio,85.96
P2,Ejercicio,78.34
P3,Ejercicio,87.77
P4,Ejercicio,98.28
P5,Ejercicio,77.19
P6,Ejercicio,77.19
P7,Ejercicio,98.95
P8,Ejercicio,89.21
P9,Ejercicio,74.37
P10,Ejercicio,86.51
P11,Ejercicio,74.44
P12,Ejercicio,74.41
P13,Ejercicio,82.9
P14,Ejercicio,57.04
P15,Ejercicio,59.3
P16,Ejercicio,73.25
P17,Ejercicio,67.85
P18,Ejercicio,83.77
P19,Ejercicio,69.1
P20,Ejercicio,63.05
P21,Ejercicio,97.59
P22,Ejercicio,77.29
P23,Ejercicio,80.81
P24,Ejercicio,62.9
P25,Ejercicio,73.47
P26,Ejercicio,81.33
P27,Ejercicio,66.19
P28,Ejercicio,84.51
P29,Ejercicio,72.79
P30,Ejercicio,76.5
P31,Ejercicio,72.78
P32,Ejercicio,102.23
P33,Ejercicio,79.84
P34,Ejercicio,67.31
P35,Ejercicio,89.87
P36,Ejercicio,65.35
P37,Ejercicio,82.51
P38,Ejercicio,56.48
P39,Ejercicio,64.06
P40,Ejercicio,82.36
P41,Ejercicio,88.86
P42,Ejercicio,82.06
P43,Ejercicio,78.61
P44,Ejercicio,76.39
P45,Ejercicio,62.26
P46,Ejercicio,71.36
P47,Ejercicio,74.47
P48,Ejercicio,92.69
P49,Ejercicio,84.12
P50,Ejercicio,58.84
P51,Ejercicio,83.89
P52,Ejercicio,75.38
P53,Ejercicio,71.88
P54,Ejercicio,87.34
P55,Ejercicio,92.37
P56,Ejercicio,91.18
P57,Ejercicio,69.93
P58,Ejercicio,76.29
P59,Ejercicio,83.98
P60,Ejercicio,91.71
P61,Ejercicio,74.25
P62,Ejercicio,77.77
P63,Ejercicio,66.72
P64,Ejercicio,65.65
P65,Ejercicio,89.75
P66,Ejercicio,96.27
P67,Ejercicio,79.14
P68,Ejercicio,92.04
P69,Ejercicio,84.34
P70,Ejercicio,72.26
P71,Ejercicio,84.34
P72,Ejercicio,98.46
P73,Ejercicio,79.57
P74,Ejercicio,98.78
P75,Ejercicio,48.56
P76,Ejercicio,89.86
P77,Ejercicio,81.04
P78,Ejercicio,76.41
P79,Ejercicio,81.1
P80,Ejercicio,56.15
P81,Reposo,69.36
P82,Reposo,76.29
P83,Reposo,89.73
P84,Reposo,65.78
P85,Reposo,62.3
P86,Reposo,65.98
P87,Reposo,82.98
P88,Reposo,75.95
P89,Reposo,65.64
P90,Reposo,78.16
P91,Reposo,73.16
P92,Reposo,83.62
P93,Reposo,63.58
P94,Reposo,68.07
P95,Reposo,67.29
P96,Reposo,54.44
P97,Reposo,75.55
P98,Reposo,75.13
P99,Reposo,72.06
P100,Reposo,69.18
P101,Reposo,55.02
P102,Reposo,66.95
P103,Reposo,67.89
P104,Reposo,62.37
P105,Reposo,70.06
P106,Reposo,76.85
P107,Reposo,94.63
P108,Reposo,74.09
P109,Reposo,75.09
P110,Reposo,71.11
P111,Reposo,48.97
P112,Reposo,71.68
P113,Reposo,72.72
P114,Reposo,101.56
P115,Reposo,69.69
P116,Reposo,75.62
P117,Reposo,71.58
P118,Reposo,57.98
P119,Reposo,85.71
P120,Reposo,81.02
P121,Reposo,81.49
P122,Reposo,61.09
P123,Reposo,88.83
P124,Reposo,55.18
P125,Reposo,79.04
P126,Reposo,98.29
P127,Reposo,60.11
P128,Reposo,65.2
P129,Reposo,73.2
P130,Reposo,65.96
P131,Reposo,53.39
P132,Reposo,72.82
P133,Reposo,59.25
P134,Reposo,77.68
P135,Reposo,60.97
P136,Reposo,90.6
P137,Reposo,62.6
P138,Reposo,68.14
P139,Reposo,81.76
P140,Reposo,57.23
P141,Reposo,74.73
P142,Reposo,87.69
P143,Reposo,52.71
P144,Reposo,74.22
P145,Reposo,75.12
P146,Reposo,81.38
P147,Reposo,57.16
P148,Reposo,56.15
P149,Reposo,78.26
P150,Reposo,75.56
P151,Reposo,75.01
P152,Reposo,76.16
P153,Reposo,63.84
P154,Reposo,74.79
P155,Reposo,75.52
P156,Reposo,63.43
P157,Reposo,94.39
P158,Reposo,77.69
P159,Reposo,57.7
P160,Reposo,79.88
