Cliente,VersiónApp,TiempoCompra
C1,A,70.4
C2,A,73.9
C3,A,64.07
C4,A,66.94
C5,A,50.93
C6,A,31.05
C7,A,74.35
C8,A,56.9
C9,A,75.91
C10,A,84.03
C11,A,69.76
C12,A,73.89
C13,A,47.9
C14,A,82.03
C15,A,43.74
C16,A,62.57
C17,A,54.87
C18,A,70.38
C19,A,68.18
C20,A,46.8
C21,A,60.9
C22,A,49.09
C23,A,60.58
C24,A,74.99
C25,A,46.88
C26,A,95.05
C27,A,62.51
C28,A,80.1
C29,A,103.72
C30,A,45.19
C31,A,62.88
C32,A,65.47
C33,A,56.03
C34,A,86.66
C35,A,67.15
C36,A,89.18
C37,A,61.69
C38,A,75.31
C39,A,63.4
C40,A,63.63
C41,A,73.42
C42,A,78.69
C43,A,57.19
C44,A,57.38
C45,A,60.16
C46,A,67.8
C47,A,48.82
C48,A,65.94
C49,A,86.94
C50,A,49.9
C51,A,66.26
C52,A,96.45
C53,A,61.12
C54,A,56.38
C55,A,74.08
C56,A,69.93
C57,A,82.81
C58,A,46.15
C59,A,70.84
C60,A,71.59
C61,A,68.64
C62,A,59.29
C63,A,73.06
C64,A,88.05
C65,A,71.26
C66,A,72.46
C67,A,75.61
C68,A,66.6
C69,A,59.93
C70,A,74.71
C71,A,92.27
C72,A,79.78
C73,A,66.51
C74,A,87.77
C75,A,83.81
C76,A,88.25
C77,A,41.75
C78,A,73.32
C79,A,97.25
C80,A,96.14
C81,A,69.09
C82,A,61.16
C83,A,57.67
C84,A,69.22
C85,A,68.72
C86,A,76.47
C87,A,67.05
C88,A,60.09
C89,A,66.3
C90,A,66.86
C91,A,62.41
C92,A,48.42
C93,A,66.94
C94,A,61.49
C95,A,64.77
C96,A,54.55
C97,A,78.79
C98,A,75.58
C99,A,33.89
C100,A,84.46
C101,A,71.45
C102,A,76.43
C103,A,78.96
C104,A,80.95
C105,A,52.13
C106,A,92.72
C107,A,59.54
C108,A,65.11
C109,A,81.75
C110,A,44.69
C111,A,91.25
C112,A,60.56
C113,A,62.26
C114,A,106.7
C115,A,46.27
C116,A,42.92
C117,A,75.67
C118,A,54.65
C119,A,55.63
C120,A,66.98
C121,A,74.56
C122,A,66.42
C123,A,78.4
C124,A,49.32
C125,A,90.55
C126,A,42.81
C127,A,71.98
C128,A,96.4
C129,A,62.06
C130,A,84.67
C131,A,54.08
C132,A,49.48
C133,A,42.36
C134,A,62.23
C135,A,94.41
C136,A,74.84
C137,A,80.48
C138,A,114.9
C139,A,73.43
C140,A,65.81
C141,A,73.48
C142,A,84.73
C143,A,70.35
C144,A,74.89
C145,A,65.82
C146,A,68.69
C147,A,92.07
C148,A,62.92
C149,A,74.65
C150,A,67.6
C151,B,78.01
C152,B,61.61
C153,B,77.94
C154,B,74.61
C155,B,88.9
C156,B,70.61
C157,B,90.57
C158,B,96.32
C159,B,80.92
C160,B,77.1
C161,B,78.98
C162,B,87.8
C163,B,73.48
C164,B,93.22
C165,B,91.43
C166,B,76.97
C167,B,68.98
C168,B,94.63
C169,B,61.03
C170,B,66.27
C171,B,57.92
C172,B,67.14
C173,B,91.86
C174,B,83.02
C175,B,78.0
C176,B,82.2
C177,B,94.54
C178,B,68.67
C179,B,82.15
C180,B,82.7
C181,B,72.26
C182,B,63.05
C183,B,53.53
C184,B,54.42
C185,B,67.46
C186,B,85.42
C187,B,81.69
C188,B,100.18
C189,B,70.22
C190,B,88.19
C191,B,60.93
C192,B,88.46
C193,B,76.32
C194,B,92.78
C195,B,75.87
C196,B,38.59
C197,B,88.15
C198,B,86.87
C199,B,49.87
C200,B,60.26
C201,B,84.65
C202,B,83.22
C203,B,100.78
C204,B,94.42
C205,B,75.04
C206,B,51.04
C207,B,71.95
C208,B,73.53
C209,B,75.74
C210,B,97.9
C211,B,61.08
C212,B,88.87
C213,B,106.65
C214,B,65.35
C215,B,66.16
C216,B,87.95
C217,B,92.65
C218,B,71.28
C219,B,77.0
C220,B,55.74
C221,B,86.39
C222,B,66.07
C223,B,75.91
C224,B,70.96
C225,B,87.83
C226,B,67.78
C227,B,61.12
C228,B,74.3
C229,B,91.42
C230,B,72.33
C231,B,102.3
C232,B,84.93
C233,B,70.67
C234,B,74.07
C235,B,82.36
C236,B,93.39
C237,B,107.61
C238,B,92.66
C239,B,88.5
C240,B,86.92
C241,B,92.82
C242,B,55.58
C243,B,89.81
C244,B,74.33
C245,B,92.74
C246,B,98.14
C247,B,81.11
C248,B,56.68
C249,B,62.64
C250,B,56.34
C251,B,94.12
C252,B,75.41
C253,B,47.37
C254,B,67.0
C255,B,51.02
C256,B,78.11
C257,B,97.52
C258,B,121.53
C259,B,85.44
C260,B,64.11
C261,B,59.39
C262,B,56.9
C263,B,90.31
C264,B,77.63
C265,B,70.31
C266,B,68.99
C267,B,61.11
C268,B,56.04
C269,B,71.82
C270,B,79.83
C271,B,60.56
C272,B,66.35
C273,B,88.92
C274,B,66.33
C275,B,81.99
C276,B,39.99
C277,B,47.76
C278,B,67.65
C279,B,91.24
C280,B,70.86
C281,B,92.09
C282,B,85.17
C283,B,91.56
C284,B,110.38
C285,B,87.61
C286,B,69.95
C287,B,77.76
C288,B,81.1
C289,B,78.29
C290,B,89.09
C291,B,78.88
C292,B,87.3
C293,B,72.07
C294,B,85.53
C295,B,66.65
C296,B,76.34
C297,B,73.34
C298,B,86.41
C299,B,80.12
C300,B,74.36
