Alumno,Grupo,Calificación (0-100)
P1,Colación,78.26
P2,Colación,80.6
P3,Colación,74.05
P4,Colación,75.96
P5,Colación,65.28
P6,Colación,52.03
P7,Colación,80.9
P8,Colación,69.27
P9,Colación,81.94
P10,Colación,87.35
P11,Colación,77.84
P12,Colación,80.6
P13,Colación,63.27
P14,Colación,86.02
P15,Colación,60.49
P16,Colación,73.05
P17,Colación,67.91
P18,Colación,78.25
P19,Colación,76.78
P20,Colación,62.53
P21,Colación,71.93
P22,Colación,64.06
P23,Colación,71.72
P24,Colación,81.33
P25,Colación,62.59
P26,Colación,94.7
P27,Colación,73.0
P28,Colación,84.73
P29,Colación,100.48
P30,Colación,61.46
P31,Colación,73.26
P32,Colación,74.98
P33,Colación,68.69
P34,Colación,89.11
P35,Colación,76.1
P36,Colación,90.78
P37,Colación,72.46
P38,Colación,81.54
P39,Colación,73.6
P40,Colación,73.76
P41,Colación,80.28
P42,Colación,83.79
P43,Colación,69.46
P44,Colación,69.59
P45,Colación,71.44
P46,Colación,76.53
P47,Colación,63.88
P48,Colación,75.29
P49,Colación,89.29
P50,Colación,64.6
P51,Colación,75.51
P52,Colación,95.63
P53,Colación,72.08
P54,Colación,68.92
P55,Colación,80.72
P56,Colación,77.95
P57,Colación,86.54
P58,Colación,62.1
P59,Colación,78.56
P60,Colación,79.06
P61,Colación,77.09
P62,Colación,70.86
P63,Colación,80.04
P64,Colación,90.03
P65,Colación,78.84
P66,Colación,79.64
P67,Colación,81.74
P68,Colación,75.73
P69,Colación,71.29
P70,Colación,81.14
P71,Colación,92.84
P72,Colación,84.52
P73,Colación,75.67
P74,Colación,89.85
P75,Colación,87.21
P76,Colación,90.17
P77,Colación,59.17
P78,Colación,80.21
P79,Colación,96.17
P80,Colación,95.43
P81,Colación,77.4
P82,Colación,72.1
P83,Colación,69.78
P84,Colación,77.48
P85,Colación,77.15
P86,Colación,82.31
P87,Colación,76.03
P88,Colación,71.39
P89,Colación,75.54
P90,Colación,75.9
P91,Colación,72.94
P92,Colación,63.61
P93,Colación,75.96
P94,Colación,72.33
P95,Colación,74.51
P96,Colación,67.7
P97,Colación,83.86
P98,Colación,81.72
P99,Colación,53.93
P100,Colación,87.64
P101,SinColación,70.97
P102,SinColación,74.29
P103,SinColación,75.97
P104,SinColación,77.3
P105,SinColación,58.09
P106,SinColación,85.15
P107,SinColación,63.02
P108,SinColación,66.74
P109,SinColación,77.83
P110,SinColación,53.13
P111,SinColación,84.16
P112,SinColación,63.71
P113,SinColación,64.84
P114,SinColación,94.47
P115,SinColación,54.18
P116,SinColación,51.94
P117,SinColación,73.78
P118,SinColación,59.76
P119,SinColación,60.42
P120,SinColación,67.99
P121,SinColación,73.04
P122,SinColación,67.61
P123,SinColación,75.6
P124,SinColación,56.21
P125,SinColación,83.7
P126,SinColación,51.88
P127,SinColación,71.32
P128,SinColación,87.6
P129,SinColación,64.71
P130,SinColación,79.78
P131,SinColación,59.39
P132,SinColación,56.32
P133,SinColación,51.57
P134,SinColación,64.82
P135,SinColación,86.27
P136,SinColación,73.23
P137,SinColación,76.99
P138,SinColación,99.94
P139,SinColación,72.28
P140,SinColación,67.21
P141,SinColación,72.32
P142,SinColación,79.82
P143,SinColación,70.23
P144,SinColación,73.26
P145,SinColación,67.22
P146,SinColación,69.12
P147,SinColación,84.71
P148,SinColación,65.28
P149,SinColación,73.1
P150,SinColación,68.4
P151,SinColación,72.01
P152,SinColación,61.07
P153,SinColación,71.96
P154,SinColación,69.74
P155,SinColación,79.27
P156,SinColación,67.07
P157,SinColación,80.38
P158,SinColación,84.22
P159,SinColación,73.95
P160,SinColación,71.4
P161,SinColación,72.66
P162,SinColación,78.53
P163,SinColación,68.98
P164,SinColación,82.15
P165,SinColación,80.95
P166,SinColación,71.32
P167,SinColación,65.99
P168,SinColación,83.08
P169,SinColación,60.69
P170,SinColación,64.18
P171,SinColación,58.61
P172,SinColación,64.76
P173,SinColación,81.24
P174,SinColación,75.35
P175,SinColación,72.0
P176,SinColación,74.8
P177,SinColación,83.03
P178,SinColación,65.78
P179,SinColación,74.77
P180,SinColación,75.13
P181,SinColación,68.17
P182,SinColación,62.03
P183,SinColación,55.69
P184,SinColación,56.28
P185,SinColación,64.97
P186,SinColación,76.95
P187,SinColación,74.46
P188,SinColación,86.79
P189,SinColación,66.81
P190,SinColación,78.79
P191,SinColación,60.62
P192,SinColación,78.97
P193,SinColación,70.88
P194,SinColación,81.85
P195,SinColación,70.58
P196,SinColación,45.73
P197,SinColación,78.77
P198,SinColación,77.92
P199,SinColación,53.25
P200,SinColación,60.18
