Empleado,Formación,VentasMensuales
E1,Si,98.8
E2,Si,152.65
E3,Si,143.11
E4,Si,136.01
E5,Si,93.63
E6,Si,164.94
E7,Si,94.68
E8,Si,140.59
E9,Si,112.63
E10,Si,105.19
E11,Si,85.16
E12,Si,147.6
E13,Si,96.69
E14,Si,96.42
E15,Si,130.92
E16,Si,139.87
E17,Si,137.99
E18,Si,122.19
E19,Si,86.93
E20,Si,121.29
E21,Si,74.13
E22,Si,128.19
E23,Si,131.91
E24,Si,124.21
E25,Si,98.44
E26,Si,142.69
E27,Si,130.57
E28,Si,64.69
E29,Si,78.64
E30,Si,128.03
E31,Si,108.43
E32,Si,92.98
E33,Si,112.16
E34,Si,94.55
E35,Si,132.49
E36,Si,119.25
E37,Si,121.18
E38,Si,90.73
E39,Si,72.19
E40,Si,126.79
E41,Si,128.05
E42,Si,91.72
E43,Si,123.95
E44,Si,96.99
E45,Si,101.35
E46,Si,114.89
E47,Si,169.16
E48,Si,140.58
E49,Si,93.56
E50,Si,133.78
E51,Si,126.85
E52,Si,129.18
E53,Si,124.9
E54,Si,117.16
E55,Si,67.78
E56,Si,96.51
E57,Si,126.9
E58,Si,130.69
E59,Si,130.42
E60,Si,127.54
E61,Si,72.08
E62,Si,115.5
E63,Si,151.74
E64,Si,55.61
E65,Si,133.94
E66,Si,179.73
E67,Si,121.58
E68,Si,127.38
E69,Si,143.54
E70,Si,119.31
E71,NO,125.52
E72,NO,43.85
E73,NO,89.82
E74,NO,154.79
E75,NO,150.18
E76,NO,135.73
E77,NO,127.24
E78,NO,80.32
E79,NO,98.1
E80,NO,128.84
E81,NO,109.72
E82,NO,121.93
E83,NO,134.78
E84,NO,105.86
E85,NO,96.43
E86,NO,98.57
E87,NO,113.71
E88,NO,114.28
E89,NO,91.12
E90,NO,56.15
E91,NO,113.17
E92,NO,97.03
E93,NO,87.35
E94,NO,95.68
E95,NO,92.67
E96,NO,46.55
E97,NO,124.7
E98,NO,120.51
E99,NO,114.53
E100,NO,144.44
E101,NO,75.39
E102,NO,110.08
E103,NO,123.32
E104,NO,100.86
E105,NO,109.06
E106,NO,89.36
E107,NO,118.38
E108,NO,86.26
E109,NO,97.21
E110,NO,156.64
E111,NO,136.16
E112,NO,99.0
E113,NO,79.19
E114,NO,86.69
E115,NO,144.0
E116,NO,105.35
E117,NO,120.27
E118,NO,86.57
E119,NO,88.2
E120,NO,109.34
E121,NO,127.04
E122,NO,157.84
E123,NO,79.81
E124,NO,74.86
E125,NO,72.15
E126,NO,133.72
E127,NO,127.45
E128,NO,63.67
E129,NO,99.51
E130,NO,98.39
E131,NO,120.84
E132,NO,79.3
E133,NO,58.03
E134,NO,71.24
E135,NO,154.56
E136,NO,122.46
E137,NO,109.62
E138,NO,103.83
E139,NO,90.79
E140,NO,103.97
